ID_VENDA	Data_venda	ID_cliente	ID_PRODUTO	ID_VENDEDOR	Quantidade	Valor Unitário	Valor Total
23	27/12/2026	DS-FESD	DN20	NABIKI	9	R$ 86,00	R$ 774,00
24	31/07/2026	EREH69	DN16	USAGI	5	R$ 24,00	R$ 120,00
25	25/01/2026	SANGOU	DN11	ANNA	3	R$ 178,00	R$ 534,00
26	26/03/2026	KIRA04	DN15	USAGI	9	R$ 754,00	R$ 6.786,00
27	09/11/2026	DIO069	DN17	ANNA	5	R$ 256,00	R$ 1.280,00
28	18/01/2026	KIRA03	DN20	USAGI	4	R$ 86,00	R$ 344,00
29	03/07/2026	NAOMIS	DN05	NARAKI	7	R$ 11,00	R$ 77,00
30	07/03/2026	DS-FESD	DN31	ANNA	10	R$ 444,00	R$ 4.440,00
31	31/01/2026	DS-MB	DN32	NARAKI	8	R$ 22,00	R$ 176,00
32	30/06/2026	EREH69	DN04	RYUK	9	R$ 28,00	R$ 252,00
33	09/02/2026	XXLTTN	DN32	NABIKI	6	R$ 22,00	R$ 132,00
34	15/06/2026	DS-SRA	DN26	NABIKI	4	R$ 122,00	R$ 488,00
35	30/12/2026	SANGOU	DN01	NABIKI	5	R$ 200,00	R$ 1.000,00
36	28/11/2026	DS-FESD	DN11	SOUN	3	R$ 178,00	R$ 534,00
37	20/07/2026	UKYOKU	DN25	SOUN	2	R$ 933,00	R$ 1.866,00
38	17/03/2026	IBRAKI	DN10	SOUN	3	R$ 12,00	R$ 36,00
39	14/05/2026	KIRA03	DN16	USAGI	1	R$ 24,00	R$ 24,00
40	29/11/2026	EREH69	DN17	SOUN	3	R$ 256,00	R$ 768,00
41	26/10/2026	TNSHHN	DN20	ANNA	2	R$ 86,00	R$ 172,00
42	19/05/2026	DS-FESD	DN27	NABIKI	1	R$ 556,00	R$ 556,00
43	06/03/2026	DS-FESD	DN09	USAGI	3	R$ 2,00	R$ 6,00
44	16/09/2026	MNCT02	DN18	USAGI	9	R$ 13,00	R$ 117,00
45	03/04/2026	SPDSTB	DN12	SOUN	2	R$ 129,00	R$ 258,00
46	13/09/2026	DS-MB	DN16	NABIKI	10	R$ 24,00	R$ 240,00
47	24/03/2026	SPDSTB	DN10	NARAKI	10	R$ 12,00	R$ 120,00
48	13/07/2026	DS-SC	DN09	NARAKI	4	R$ 2,00	R$ 8,00
49	08/12/2026	KIRA02	DN03	RYUK	7	R$ 28,00	R$ 196,00
50	08/01/2026	EREH69	DN23	SOUN	1	R$ 145,00	R$ 145,00
51	14/01/2026	EREH69	DN30	ANNA	8	R$ 122,00	R$ 976,00
52	05/04/2026	UKYOKU	DN24	NARAKI	6	R$ 136,00	R$ 816,00
53	31/05/2026	SPDSTB	DN09	RYUK	7	R$ 2,00	R$ 14,00
54	07/03/2026	TNSHHN	DN33	USAGI	9	R$ 234,00	R$ 2.106,00
55	08/12/2026	ARMTTN	DN09	NABIKI	7	R$ 2,00	R$ 14,00
56	03/02/2026	MNCT02	DN23	NABIKI	8	R$ 145,00	R$ 1.160,00
57	17/02/2026	DS-SC	DN10	ANNA	9	R$ 12,00	R$ 108,00
58	19/06/2026	XXLTTN	DN08	NARAKI	1	R$ 83,00	R$ 83,00
59	10/02/2026	UKYOKU	DN30	NARAKI	7	R$ 122,00	R$ 854,00
